㐀	丘
華	华 崋 蕐
菰	菇
菴	庵
菸	煙 烟
萆	蓖
萇	苌
萊	莱
萚	蘀
萝	蘿
萤	螢
营	營
萦	縈
萧	蕭
萨	薩
萬	卍 万
萯	𰰷
萱	萲
萲	萱
萴	荝
萵	莴
葁	薑
葉	叶
葒	荭
著	螫 着
葚	椹
葝	𫈎
葢	盖 蓋
葤	荮
葦	苇
葬	塟
葯	藥
葱	蔥
葷	荤
葻	𬜥
蒇	蕆
蒉	蕢
蒋	蔣
蒌	蔞
蒍	蔿 𫇭
蒒	𰰳
蒓	蓴
蒔	莳
蒞	涖 莅
蒭	芻 𫇴
蒳	𰱌
蒶	𰱍
蒸	烝
蒼	苍
蓀	荪
蓋	盖 葢
蓖	萆
蓝	藍
蓟	薊
蓠	蘺
蓣	蕷
蓥	鎣
蓦	驀
蓧	莜
蓮	莲
蓯	苁
蓲	𰰤
蓴	莼 蒓
蓺	埶 秇 藝
蓽	荜
蔂	虆
蔄	𬜬
蔎	𰰺
蔔	菔
蔗	𧀹
蔚	嶎
蔞	褸 蒌
蔠	𰱛
蔣	蒋
蔥	葱
蔦	茑
蔪	𰱑
蔭	荫 廕
蔮	𬜿
蔯	𫈟
蔱	𰰵
蔴	麻
蔷	薔
蔹	蘞
蔺	藺
蔼	藹
蔿	蒍
蕁	荨
蕄	𰱉
蕆	蒇
蕈	菌
蕊	蕋
蕋	蕊
蕎	荞 荍
蕐	華
蕑	𰱇
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕝	𫈵
蕟	𬜧
蕡	𰱟
蕢	籄 簣 蒉
蕣	橓
蕤	甤
蕧	𰱦
蕩	盪 偒 荡 蘯
蕪	芜
蕭	萧
蕰	薀
蕲	蘄
蕳	𫈉
蕴	蘊
蕷	蓣
蕽	𫇽
薀	蕰
薅	茠
薆	𫉁
薈	荟
薉	𬜨
薊	蓟
薋	𰱱
薌	芗
薑	葁
薓	參
薔	蔷
薖	𰰾
薘	荙
薟	莶 蘞
薠	𮐚
薦	荐
薩	萨
薮	藪
薯	藷
薱	𰰱
薲	𬝯
薳	䓕
薴	苧
薵	䓓
薺	荠
藇	𰰠 𨣦
藉	耤
藍	蓝
藎	荩
藓	蘚
藖	𬜾
藘	𰱮
藚	𰱐
藝	埶 蓺 秇 艺
藟	蘽
藣	𰱯
藤	籐
藥	葯 药
藦	蘑
藪	薮
藬	𬞘
藰	𰰹
藶	苈
藷	薯 𫉄
藹	蔼
藺	蔺
藾	𰱾
蘀	萚
蘄	蕲
蘆	芦
蘇	苏
蘈	𰲁
蘊	蕴
蘋	苹 𬞟
蘑	藦
蘖	櫱
蘚	藓
蘞	薟 蔹
蘟	𦻕
蘡	𮐨
蘢	茏
蘤	花
蘫	𬞫
蘬	𰰮
蘭	兰 𬞕
蘯	蕩 盪
蘱	𰲒
蘵	𰱲
蘷	虁
蘹	𬜸
蘺	蓠
蘽	藟
蘿	萝
虁	蘷
虅	𰲂
虆	蔂
虉	𬟁
虏	虜
虐	䖈
虑	慮
虓	猇 唬
虔	䖍
處	処 䖏 处
虚	虛
虛	虚
虜	虏 擄
虞	𩦢
號	号
虣	暴
虦	𰲠
虧	亏
虫	蟲
虬	虯 蚪
虮	蟣
虯	虬
虱	蝨
虽	雖
虾	蝦
虿	蠆
蚀	蝕
蚁	蟻
蚂	螞
蚃	蠁
蚊	蟁
蚋	蜹
蚓	螾
蚕	蠶
蚘	痐 蛕 蛔
蚝	螆
蚤	䖣
蚦	蚺
蚪	虬
蚬	蜆
蚺	蚦
蛄	蛌
蛆	𧐅
蛊	蠱
蛋	蜑
蛌	蛄
蛎	蠣
蛏	蟶
蛓	螆
蛔	蛕 蚘
蛕	蛔 蚘
蛗	𧌓
蛙	鼃
蛛	鼄
蛮	蠻
蛰	蟄
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
蛵	𰲶
蛺	蛱
蛻	蜕
蛼	𰲬
蜂	蠭
蜆	蚬
蜇	𧋍
蜋	螂
蜍	蠩
蜑	蛋
蜕	蛻
蜗	蝸
蜝	蜞
蜞	蜝
蜡	蠟 䄍 蜡
蜦	𰲰
蜨	蝶
蜫	䖵
蜶	蟀
蜸	𰲮
蜹	蚋
蜽	𮔊
蝀	𬟽
蝁	𰲸
蝃	螮
蝇	蠅
蝈	蟈
蝉	蟬
蝎	蠍
蝕	蚀
蝜	𮔅
蝟	猬
蝥	蟊
蝦	虾 鰕
蝨	虱
蝯	猿 猨
蝱	䖟
蝶	蜨
蝸	蜗
蝼	螻
蝾	蠑
螀	螿
螂	蜋
螄	蛳
螆	蚝 蛓
融	螎
螎	融
螗	螳
螘	蟻 𰲹
螙	蠧
螞	蚂
螢	萤
螨	蟎
螫	著
螮	䗖 蝃
螳	螗
螴	𰳄
螹	𰳂
螺	蠃
螻	蝼
螾	蚓
螿	螀
蟀	蜶
蟁	蚊
蟂	𫋇
蟄	蛰
蟈	蝈
蟊	蝥
蟎	螨
蟏	蠨
蟘	𫋌
蟚	蟛
蟛	蟚
蟜	𫊸
蟡	𰲲
蟣	虮
蟦	𰳊
蟬	蝉
蟮	蟺
蟯	蛲
蟱	𰲫
蟲	虫
蟳	𫊻
蟶	蛏
蟷	𬠅
蟹	蠏
蟺	蟮
蟻	蚁 螘
蟽	𰲻
蠀	𧏗
蠁	蚃
蠃	螺
蠅	蝇
蠆	虿
蠈	𬠠
蠌	𰲵
蠍	蝎
蠏	蟹
蠐	蛴
蠑	蝾
蠒	𫊱
蠔	𧐢
蠙	𧏖
蠞	𬝋
蠟	蜡
蠣	蛎
蠦	𫊮
蠧	螙
蠨	蟏
蠩	蜍
蠪	𰲴
蠭	蜂
蠱	蛊
蠳	𰳗
蠶	蚕
蠻	蛮
蠾	𧑏
衂	衄
衄	衂
衅	釁
衆	𠂝 眾
衇	脉 脈
衒	炫
術	术
衔	銜
衕	同
衚	胡
衛	卫 衞
衝	冲 𧘂
衞	衛
衣	衤
衤	衣
补	補
表	表 錶
衬	襯
衮	袞
衽	袵
衿	紟 襟
袄	襖
袅	裊
袆	褘
袋	帒
袒	襢
袜	襪
袞	衮
袠	帙
袭	襲
袮	您 妳 你 祢
袯	襏
袴	絝 褲
袵	衽
袷	裌
装	裝
裆	襠
裈	褌
裉	褃
裊	袅
裌	袷 𬡒
裏	裡
裒	鴄
裙	帬 裠
補	补
裝	装
裠	裙
裡	里 裏
裢	褳
裣	襝
裤	褲
裥	襇
裲	𮖁
裸	躶
製	制
褃	裉
複	复
褌	裈
褎	褏
褏	褎
褒	襃
褓	緥
褘	袆
褛	褸
褝	襌
褟	溻
褢	褱
褧	絅
褭	𬡇
褱	褢
褲	絝 袴 裤
褳	裢
褴	襤
褵	縭
褸	褛 蔞
褺	𬡓 䙝 褻
褻	䙝 亵 褺
襀	𫌀
襁	繦 繈
襂	𰴂
襃	褒
襄	㐮
襇	裥
襌	褝
襍	雜
襏	袯
襓	𫋹
襕	襴
襖	澳 袄 𥜌
襗	𫋷
襘	𫋻
襛	𰳺
襜	輦 襝
襝	襜 裣
襟	衿
襠	裆
襢	袒
襤	褴
襨	𰳸
襪	袜 韈 韤
襬	䙓
襭	𮖱
襮	幞
襯	衬 儭
襰	𧝝
襱	𰳲
襲	袭
襴	襕
襵	𫌇
襸	𬡷
襹	𰳼
襼	𰳵
覆	复
覇	霸
覊	羈
見	见
覌	觀
覎	觃
規	规
覐	覺
覒	𬆾
覓	觅 覔
覔	覓
覕	𰴕
視	视 眎
覗	𬢊
覘	觇 䦓 𦕒
覛	𫌪
覜	𬢋
覟	𬢌
覠	𰴙
覡	觋
覢	𬊦
覤	𬟪
覥	靦 觍
覦	觎
覩	睹 𬢎
親	亲
覬	觊
覭	𬢒
覯	觏
覰	覷 𰴜
覲	觐
覴	𬢔
覶	𰴝
覷	觑 覰
覸	𰴘
覹	𫌭
覺	觉 覐 斍
覻	𰴞
覼	𫌨
覽	览
覿	觌
觀	覌 观
见	見
观	觀
觃	覎
规	規
觅	覓
视	視
觇	覘
览	覽
觉	覺
觊	覬
觋	覡
觌	覿
觍	覥
觎	覦
觏	覯
觐	覲
觑	覷
觔	斤
觕	麄 麤 粗
觜	咀 嘴
觝	牴
觞	觴
解	觧
觥	觵
触	觸
觧	解
觯	觶
觴	觞
觵	觥
觶	觯
觷	𰴣
觸	触
觹	𧤤
觻	𰴢
觽	𧥅
訁	讠
訂	订
訃	讣
訆	𰵊
訇	𢕐 渹
計	计
訊	讯
訌	讧
討	讨
訏	𬣙
訐	讦
訑	𫍙
訒	讱
訓	训
訕	讪
訖	讫
託	讬 侂
記	记
訚	誾
訛	譌 讹
訜	𫍛
訝	讶
訞	䚶 𫍚
訟	讼
訠	矧
訢	䜣
訣	诀
訥	讷 吶
訦	𰵒 諶
訧	𰵎
訨	𫟞
訩	詾 讻
訪	访
訬	𰵏
設	设
訮	詽
訰	𰵍
許	许
訴	愬 诉
訶	诃
訸	𰵝
訹	𰵓
診	诊
註	注 𬣣
証	證
訽	詬 𰵛
詀	𧮪
詁	诂
詃	𬣤
詄	𰵙
詅	𰵚
詆	诋
詇	𰵗
詉	𰵠
詊	𫟟
詋	呪
詌	𬣠
詍	𰵔
詎	讵
詏	𬣦
詐	诈 醡
詑	𫍡
詒	诒
詓	𫍜
詔	诏
評	评
詖	诐
詗	诇
詘	诎
詛	诅
詜	𬣥
詝	𬣞
詞	词
詟	讋
詠	咏 𰵞
詡	诩
詢	询
詣	诣
詤	謊
詥	𰵣
試	试
詧	察
詨	𰵦
詩	诗
詪	𬣳
詫	诧
詬	訽 呴 诟
詭	诡
詮	诠
詯	𬣰
詰	诘
話	话 䛡
該	该
詳	详
詴	𬣩
詵	侁 诜 駪
詶	𬣱
詷	𫍣
詺	𬣮
詻	𰵤
詼	诙
詽	訮
詾	訩
詿	诖
誂	𫍥
誃	𰵥
誄	诔
誅	诛
誆	诓
誇	夸
誉	譽
誊	謄
誋	𫍪
誌	𰵧 志
認	认
誎	𬣷
誏	𬣼
誐	𰵮 哦
誑	诳
誒	诶
誔	𬣻
誕	𧩙 诞
誗	𰵭
誘	䛻 诱
誙	𰵡
誚	诮 譙
誜	𰵯
語	语
誠	诚
誡	诫
誣	诬
誤	误 悞
誥	诰
誦	诵
誧	𰵩
誨	诲
誩	競
說	説 说
誫	𫍨
説	說
誰	谁
課	课
誳	𫍮
誴	𫟡
誶	谇
誷	𫍬
誹	诽
誺	𫍧
誻	𰵸
誼	谊
誽	𰵵
誾	訚
調	调
諁	啜 𰵷
諂	谄
諃	𰵱
諄	谆
諆	𰵲
談	譚 谈
諈	𰵶
諉	诿 餵
諊	鞫
請	请
諍	诤
諎	𬣾
諏	诹
諑	诼
諒	谅
諓	𬣡
諔	𰵴
諕	𬤀 唬
論	论
諗	谂
諛	谀
諜	谍
諝	谞
諞	谝
諟	𬤊
諠	𬤎 喧
諡	謚
諢	诨
諣	𫍩
諤	谔 囮 讍
諥	𫍳
諦	谛
諧	龤 谐
諩	𬣲
諫	谏
諭	谕
諮	谘 咨 嗞
諯	𫍱
諰	𫍰
諱	讳
諲	𬤇
諳	谙
諴	𫍯
諵	喃
諶	谌 訦
諷	讽
諸	诸
諹	𰵌
諺	谚
諻	𬤍
諼	谖 煖
諾	诺
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
謆	𫍸
謉	𫍷
謊	谎 詤
謋	𰵼
謌	歌 𬤐
謍	𰴯
謎	谜
謏	𫍲
謐	谧
謑	𰵾
謔	谑
謖	谡
謗	谤
謙	谦
謚	諡 谥
講	讲
謜	𰵺
謝	谢
謞	𰵿
謟	𰵽
謠	谣
謣	𰶀
謥	𰶂
謨	谟
謫	讁 谪
謬	谬
謭	谫
謯	𫍹
謰	𬣽
謱	𫍴 嘍
謲	𬢳 𬤄
謳	讴
謴	𬤆
謵	𰶃
謸	𫍵
謹	谨
謻	𰶁
謼	𬤙
謾	谩
譀	𰶆
譁	嘩
譂	𫟠
譄	𬤤
譅	𰶎
譆	𫍻
譇	𰶄
譈	憝 𬤣 懟
證	证 証
譊	𫍢
譌	訛 𰵑
譎	憰 谲
譏	讥
譐	𬤢 噂
譑	𫍤
譓	𬤝
譔	𬤥
譖	谮
識	识
譙	誚 谯
譚	谭 談
譜	谱
譞	𫍽
譟	噪 𬤨
譠	𰶉
譡	𬣭
警	儆
譨	𫍦
譩	𰶊
譫	谵
譭	䛼
譯	译
議	议
譳	𰶌
譴	谴
護	护
譸	诪 𬢪
譹	𬤫
譺	𬤩
譻	𬢯
譼	䛓
譽	誉 域
譾	谫 𫍿
譿	𬤭
讀	读
讁	謫
讂	𰶍
讅	谉
讆	𬣀 讏
讇	𬤛
讉	𬤦
變	変 变
讋	詟
讌	䜩 宴
讍	諤
讎	讐 雠 仇
讏	讆
讐	讎 仇
讑	𰶏
讒	谗
讓	让
讔	𮙊
讕	谰
讖	谶
讘	囁 𰵹
讙	𬤰
讚	𬤮
讛	𰵖
讜	谠
讝	𰵨
讞	谳
讟	𮙋
讠	訁
计	計
订	訂
讣	訃
认	認
讥	譏
讦	訐
讧	訌
讨	討
让	讓
讪	訕
讫	訖
讬	託
训	訓
议	議
讯	訊
记	記
讱	訒
讲	講
讳	諱
讴	謳
讵	詎
讶	訝
讷	訥
许	許
讹	訛
论	論
讻	訩
讼	訟
讽	諷
设	設
访	訪
诀	訣
证	證
诂	詁
诃	訶
评	評
诅	詛
识	識
诇	詗
诈	詐
诉	訴
诊	診
诋	詆
诌	謅
词	詞
诎	詘
诏	詔
诐	詖
译	譯
诒	詒
诓	誆
诔	誄
试	試
诖	詿
诗	詩
诘	詰
诙	詼
诚	誠
诛	誅
诜	詵
话	話
诞	誕
诟	詬
诠	詮
诡	詭
询	詢
诣	詣
诤	諍
该	該
详	詳
诧	詫
诨	諢
诩	詡
诪	譸
诫	誡
诬	誣
语	語
诮	誚
误	誤
诰	誥
诱	誘
诲	誨
诳	誑
说	說
诵	誦
诶	誒
请	請
诸	諸
诹	諏
诺	諾
读	讀
诼	諑
诽	誹
课	課
诿	諉
谀	諛
谁	誰
谂	諗
调	調
谄	諂
谅	諒
谆	諄
谇	誶
谈	談
谉	讅
谊	誼
谋	謀
谌	諶
谍	諜
谎	謊
谏	諫
谐	諧
谑	謔
谒	謁
谓	謂
谔	諤
谕	諭
谖	諼
谗	讒
谘	諮
谙	諳
谚	諺
谛	諦
谜	謎
谝	諞
谞	諝
谟	謨
谠	讜
谡	謖
谢	謝
谣	謠
谤	謗
谥	謚
谦	謙
谧	謐
谨	謹
谩	謾
谪	謫
谫	謭 譾
谬	謬
谭	譚
谮	譖
谯	譙
谰	讕
谱	譜
谲	譎
谳	讞
谴	譴
谵	譫
谶	讖
谷	穀
谿	嵠
豄	𰶔
豅	𰶑
豆	荳
豇	䜶
豈	岂
豋	登
豎	竖 竪
豐	丰
豓	豔 艶
豔	豓 艶
豘	豚
豚	豘
豜	豣
豝	羓
豣	豜
豫	預
豬	猪
豮	豶
豳	邠 㟗
豴	蹢
豵	𫎆 䝋
豶	豮
豸	廌
豺	犲
豻	犴
貌	皃
貍	狸
貎	皃
貓	猫
貗	𫎌
貙	䝙
貛	獾
貝	贝
貞	贞
貟	贠
負	负
財	财 才 㒲
貢	贡
貣	𰷞
貤	𰷠
貦	𰷡
貧	贫
貨	货
販	𧶶 贩
貪	贪
貫	贯
責	拆 责
貭	質
貯	贮
貰	贳
貱	𬥶
貲	赀
貳	弍 贰 二
貴	贵
貶	贬
買	𧹒 买
貸	贷
貺	贶
費	费
貼	贴
貽	贻
貾	𰷢
貿	贸
賀	贺
賁	贲
賂	赂
賃	赁
賄	贿
賅	侅 赅
資	资
賈	贾
賊	贼
賍	贜 贓
賑	赈
賒	赊
賓	宾 賔
賔	賓
賕	赇
賗	𬥸
賙	赒
賚	赉
賛	贊
賜	赐
賝	𫎩
賞	赏
賟	𧹖
賠	赔
賡	赓
賢	贤 贒
賣	卖
賤	贱
賥	𰷤
賦	赋
賧	赕
賨	𰷥
質	质 貭
賫	齎
賬	帳 账 𧹔
賭	赌
賮	贐 𰷧
賰	䞐
賴	頼 赖
賵	赗
賶	𬥳
賸	𬂉 剩
賹	𰷪
賺	赚 𧸖 贃
賻	赙
購	购
賽	赛
賾	赜
贃	賺 𧹗 𧸖
贄	贽
贅	赘
贆	𰷫
贇	赟
贈	赠
贉	𫎫
贊	賛 赞
贋	赝 贗 偐
贍	赡
贏	赢
贐	赆 賮
贑	𫎬
贒	賢
贓	贜 賍 𰷭 赃
贔	赑
贕	𫧿
贖	赎
贗	赝 贋 偐
贙	𰷮
贚	𫎦
贛	赣
贜	賍 贓
贝	貝
贞	貞
负	負
贠	貟
贡	貢
财	財
责	責
贤	賢
败	敗
账	賬
货	貨
质	質
贩	販
贪	貪
贫	貧
贬	貶
购	購
贮	貯
贯	貫
贰	貳
贱	賤
贲	賁
贳	貰
贴	貼
贵	貴
贶	貺
贷	貸
贸	貿
费	費
贺	賀
贻	貽
贼	賊
贽	贄
贾	賈
贿	賄
赀	貲
赁	賃
赂	賂
赃	贓
资	資
赅	賅
赆	贐
赇	賕
赈	賑
赉	賚
赊	賒
赋	賦
赌	賭
赍	齎
赎	贖
赏	賞
赐	賜
赑	贔
赒	賙
赓	賡
赔	賠
赕	賧
赖	賴
赗	賵
赘	贅
赙	賻
赚	賺
赛	賽
赜	賾
赝	贗 贋
赞	贊
赟	贇
赠	贈
赡	贍
赢	贏
赣	贛
赤	𤆍
赪	赬
赬	䞓 赪
赵	趙
赶	趕
赿	趆
趁	趂
趂	趁
趄	跙
趆	赿
趋	趨
趒	跳
趕	赶
趙	赵
趨	趋
趫	𰷶
趬	𰷵
趮	躁
趯	躍
趱	趲
趲	趱
趸	躉
跃	躍
跄	蹌
跊	𧿴
跐	跴
跖	蹠
跙	趄
跞	躒
跡	速 迹 蹟
跥	跺
跳	趒
跴	踹 跐
践	踐
跶	躂
跷	蹺
跸	蹕
跹	躚
跺	跥
跻	躋
踁	硜
踊	踴
踌	躊
踏	蹋
踐	践
踚	𬦧
踦	犄
踪	蹤
踬	躓
踭	㬹
踯	躑
踰	逾
踴	踊
踵	歱
踹	跴
踽	偊
蹄	蹏
蹋	踏 蹹
蹌	跄 牄
蹏	蹄
蹑	躡
蹒	蹣
蹔	𫏐
蹕	跸
蹛	𰸚
蹝	躧 屣
蹟	速 迹 跡
蹠	跖
蹡	𬧀
蹢	豴
蹣	蹒
蹤	𧿛 踪
蹥	𰸔
蹧	遭
蹪	𰸞
蹭	矰
蹮	躚
蹰	躕
蹳	𫏆
蹴	蹵
蹵	蹴
蹶	蹷
蹷	蹶
蹹	蹋
蹺	蹻 跷
蹻	蹺 𫏋
蹿	躥
躀	𬦻
躁	趮
躂	跶
躅	䠱
躉	趸
躊	踌
躋	隮 跻
躍	趯 跃
躎	䟢
躏	躪
躑	踯
躒	跞
躓	踬
躕	蹰
躗	躛
躘	𨀁
躚	跹 蹮
躛	躗
躜	躦
躝	𨅬
躡	蹑
躥	蹿
躦	躜
躧	𰸐 屣 蹝
躪	躏
躬	躳
躭	眈
躯	軀
躱	躲
躲	躱
躳	躬
躶	裸
躷	矮
軀	躯
軂	𬧤
軃	𰹀
軄	職
軆	体
軇	𮜶
軉	𨉗
車	车
軋	轧
軌	轨
軍	军
軎	𰹲
軏	𫐄
軑	轪
軒	轩
軓	𰹴
軔	轫
軕	𫐅
軖	𰹶
軗	𨐅
軘	𰹸
軛	轭
軜	𫐇
軝	𬨂
軞	𬨁
軟	软 輭
軤	轷
軥	𰺁
軧	𰺀
軨	𫐉
軫	轸
軬	𫐊
軮	𬨄
軯	𰹽
軰	輩
軱	𮝴
軲	轂 轱
軳	𰺂
軵	𰹿
軷	𫐈
軸	轴
軹	轵
軺	轺 𨍳
軻	轲
軼	轶
軾	轼
軿	輧 𫐌
輀	𮝵
輁	𰺄
輂	𰺅
較	较
輄	𨐈
輅	辂
輆	𬨇
輇	辁
輈	辀
載	载 儎
輊	轾
輋	𪨶
輐	𰺇
輑	𰺈
輒	辄 輙
輓	𬨈 挽
輔	辅
輕	轻
輖	𫐏
輗	𫐐
輘	𰺊
輙	輒 𰺋
輚	𰹼
輛	辆
輜	辎
輝	煇 辉
輞	辋
輟	辍
輠	𰺍
輡	𰺐
輢	𫐎
輣	𰺏
輤	𰺉
輥	辊
輦	襜 辇
輧	軿
輨	𫐑
輩	辈 軰
輪	轮
輫	𰺎
輬	辌
輭	軟
輮	𫐓
輯	辑
輲	𰺒
輳	辏
輴	𮝸
輵	𬨍 轕
輶	𬨎
輷	𫐒
輸	输
輹	𰺓
輻	辐
輾	辗
輿	舆 轝
轀	辒
轂	軲 毂
轃	𰺖
轄	辖 鎋
轅	辕
轆	辘 樚
轇	𫐖
轈	𬨓
轉	转
轊	𫐕
轍	辙
轎	轿
轏	𰺞
轐	𫐗
轑	𰺛
轒	𮝷
轓	𰺜
轔	辚
轕	𮝺 輵
轖	𰺙
轗	𫐘 㙳
轘	𮝹
轙	𰹵
轚	𰺟
轛	𰺃
轝	輿 𬛼
轞	𰺗
轟	轰
轠	𫐙
轡	辔
轢	轹
轣	𫐆
轤	轳
轥	𰺣
车	車
轧	軋
轨	軌
轩	軒
轪	軑
轫	軔
转	轉
轭	軛
轮	輪
软	軟
轰	轟
轱	軲
轲	軻
轳	轤
轴	軸
轵	軹
轶	軼
轷	軤
轸	軫
轹	轢
轺	軺
轻	輕
轼	軾
载	載
轾	輊
轿	轎
辀	輈
辁	輇
辂	輅
较	較
辄	輒
辅	輔
辆	輛
辇	輦
辈	輩
辉	輝
辊	輥
辋	輞
辌	輬
辍	輟
辎	輜
辏	輳
辐	輻
辑	輯
辒	轀
输	輸
辔	轡
辕	轅
辖	轄
辗	輾
辘	轆
辙	轍
辚	轔
辞	辤 辭
辟	辟 闢
辠	罪
辢	辣
辣	辢
辤	辭 辞
辦	办
辨	辯
辩	辯
辫	辮
辭	辤 辞
辮	辫
辯	辩 辨
農	农 莀
辵	辶
辶	辵
边	邊
辽	遼
达	達
迁	遷
迆	迤
过	過
迈	邁
迊	匝 帀
运	運
迕	忤
还	還
这	這
进	進
远	遠
违	違
连	連
迟	遲
迤	迆
迨	逮
迩	邇
迪	廸
迫	廹
迯	逃
迳	逕
迴	廻
迹	速 蹟 跡
迺	乃 廼
迻	移
适	適
逃	迯
选	選
逊	遜
递	遞
逓	遞
逕	迳
逖	逷
這	这
逞	期
速	跡
連	连
逦	邐
逮	迨
週	周
進	进
逷	逖
逻	邏
逼	偪
逾	踰
逿	盪 𨌩 𰺲
運	运
遍	徧
過	过
達	达
違	违
遗	遺
遙	遥
遜	愻 逊
遞	递 逓
遠	远
遡	溯 泝
遥	遙
適	适
遭	蹧
遰	𰻆
遱	𫐷
遲	迟
遶	繞 𰺷
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邅	㣶
邇	迩
邊	边
邏	逻
邐	逦
邓	鄧
邕	𪪝 雍
邝	鄺
邠	豳 㟗
邨	村
邬	鄔
邮	郵
邹	鄒
邺	鄴
邻	鄰
郁	鬱 喐
郄	郤
郎	郞
郏	郟
郐	鄶
郑	鄭
郓	鄆
郞	郎
郟	郏
郤	郄
郦	酈
郧	鄖
郰	鄹
郲	𬩾
郵	邮
郷	鄉 鄕
郸	鄲
鄆	郓
鄉	鄕 郷 乡
鄒	邹
鄔	塢 邬
鄕	鄉 郷
鄖	郧
鄟	𫑘
鄡	𰻮
鄦	𰻡
鄧	邓
鄩	𬩽
鄪	𰻳
鄬	𰻦
鄭	郑
鄮	𬪍
鄰	邻 隣
鄲	郸
鄳	𫑡
鄴	邺
鄶	郐
鄹	郰
鄺	邝
酂	酇
酇	酂
酈	郦
酉	酋
酋	酉
酖	鴆
酝	醞
酢	榨
酦	醱
酧	醻 酬
酬	酧 醻
酱	醬
酹	儡
酽	釅
酾	釃
酿	釀
醃	腌
醆	𬪨
醇	䣩
醊	餟
醑	湑
醒	惺
醜	丑
醞	酝
醡	榨 詐
醦	𮠳
醧	𬪧
醩	糟
醫	医
醬	酱
醱	酦
醲	𬪩
醳	𰼅
醶	𫑷
醻	酧 酬
釀	酿
釁	衅
釃	酾
釅	酽
采	採 埰
释	釋
釋	释
里	裡
野	埜
釐	厘
金	釒
釒	金 钅
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
釚	𫟲
釛	𰽖
針	箴 针 鍼
釟	𫓥
釣	钓
釤	钐
釥	𰽛
釦	𬬪
釧	钏
釨	𫓦
釩	钒
釪	𰽗
釫	𬬨
釬	𬬧 銲
釭	𮣲
釱	𰽘
釲	𫟳
釳	𨰿
釴	𬬩
釵	钗 叉
釷	钍
釹	钕
釺	钎
釽	𬬲
釾	䥺
釿	𬬱
鈀	钯 耙
鈁	钫
鈂	𬬵
鈃	钘
鈄	钭
鈆	鉛 𫓪
鈇	𫓧
鈈	钚
鈉	钠
鈋	𨱂
鈍	钝
鈎	鉤 钩
鈏	𰽣
鈐	钤
鈑	钣
鈒	钑
鈓	𬬯
鈔	钞
鈕	钮
鈖	𫟴
鈗	𫟵
鈚	𬬫
鈛	𫓨
鈜	𮣳
鈞	钧 銁
鈠	𨱁
鈣	钙
鈤	𰽡
鈥	钬
鈦	钛
鈧	钪
鈪	𰽞
鈮	铌
鈯	𨱄
鈰	铈
鈲	𨱃
鈳	钶
鈴	铃
鈵	𰽥
鈶	𬭀
鈷	钴
鈸	钹
鈹	铍
鈺	钰
鈼	𬬽
鈽	钸
鈾	铀
鈿	钿
鉀	钾
鉁	𨱅
鉄	銕 鐵
鉅	钜
鉆	鑽 鉗
鉈	铊 𥓿 砣
鉉	铉
鉊	𬬿
鉋	刨 铇
鉌	𰽬
鉍	铋
鉎	𰽫
鉏	𬬺 鋤
鉐	𬬷
鉑	铂
鉒	𰽯
鉔	𫓬
鉕	钷
鉗	鉆 钳
鉘	𰽱
鉙	𰽨
鉚	铆
鉛	鈆 铅
鉜	𰽮
鉝	𫟷
鉞	钺 戉
鉟	𰽧
鉠	𫓭
鉡	𰽰
鉢	缽
鉤	鈎 钩 𰽭
鉥	𬬸
鉦	钲
鉧	𬭁
鉨	鿭
鉬	钼
鉭	钽
鉮	𬬹
鉲	𰽩
鉴	鑒
鉵	𰽶
鉶	铏
鉷	𫟹
鉸	铰
鉹	𰽹
鉺	铒
鉻	铬
鉼	𰽼
鉽	𫟸
鉾	𫓴
鉿	铪
銀	银
銁	𫓲 鈞
銂	𫟻
銃	铳
銅	铜
銈	𫓯
銊	𫓰
銋	𰽻
銍	铚
銏	𫟶
銑	铣
銓	铨
銔	𬭃
銕	鉄 鐵
銖	铢
銗	𬭅
銘	铭
銙	𰽴
銚	铫
銛	铦
銜	㘅 衔
銠	铑
銡	𰽲
銣	铷
銥	铱
銦	铟
銧	𰽵
銨	铵
銩	铥
銪	铕
銫	铯
銬	铐
銮	鑾
銱	铞
銲	𬭍 釬
銳	锐 鋭
銶	𨱇
銷	销
銸	𰽿
銹	锈 鏽
銻	锑
銼	锉 剉
銾	𰾁
鋁	铝
鋂	𰾄
鋃	锒
鋅	锌
鋇	钡
鋉	𨱈
鋊	𰾆
鋋	𮣴
鋌	铤
鋍	𰾀
鋏	铗
鋐	𬭎
鋑	鐫 鑴
鋒	锋
鋗	𫓶
鋘	𬭌
鋙	铻
鋜	𰾃
鋝	锊
鋟	锓
鋠	𫓵
鋡	𰾅
鋣	铘
鋤	鉏 锄
鋥	锃
鋦	锔
鋧	𰽢
鋨	锇
鋩	铓
鋪	舖 铺
鋭	銳
鋮	铖
鋯	锆
鋰	锂
鋱	铽
鋶	锍
鋸	锯
鋹	𬬮
鋼	钢
鋾	𰾏
錀	𬬭
錁	锞
錂	𨱋
錄	录
錆	锖
錇	锫
錈	锩
錋	𬭖
錍	𰾎
錏	铔
