㐁	𠀬
累	絫纍累𠫯𤳻𤴈
繁	緐䋣䌓繁𫧅𬉯
繡	綉繍𫃯𫃲𬗷𰬩
纔	才𦁨𦂯𦆳𦆵𬘇
纯	純肫㝄𠄤𥾑𥾴
线	絤綖綫線𦂷𦇫
经	坕巠經𤔕𦀇𦀰
绤	綌𢂲𥿭𦀭𦃁𦃛
继	繼㡭𥽠𦁚𦇓𦇡
绷	綳繃䙀䙖𦇜𧚸
缯	縡繒䌆𢅋𥃙𦀓
罗	羅𦋝𦌴𬼶𮉞𮗈
罟	䇢𦊖𦊙𦊟𫅂𮊁
罢	罷𠐌𦋼𧟽𮊒𮊓
罪	辠𡈚𤾐𦋛𦤖𫅄
罶	羀𦊑𦊗𦊿𦌁𮊚
羆	罴𥀍𥀡𥀦𥀧𦌲
羿	𢏖𢏗𢏘𦐧𫸟𫸦
翔	羏𦍤𦑒𫅦𫅧𫕿
翼	䋚𦏵𦐂𦒖𩙺𰭝
老	耂老𠄰𠈣𦒳⽼
耨	槈鎒䅶𦓶𦔘𧂭
肴	殽餚𦘬𦙩𦜂𦜚
胏	𡋜𦙰𦚘𦚙𦛎𦞤
胚	妚肧㚰𣆏𦙂𰮉
脀	𦚦𦛆𦛫𦛬𦞪𪱝
脓	癑膿醲𥂒𧗕𮜻
腴	𣧴𣨃𦚤𫆚𮫿𰮻
膊	禣髆𦡰𦢸𦣈𰯡
膻	羴羶䍹𦏫𦏬𦏭
臊	𦏛𦞣𦟄𦟅𦠨𩟎
臻	溱𦥇𧽕𫇑𬛴𬛵
舅	𠢎𤰧𤽲𦥶𦦊𭦉
與	与𦦲𫝌𫟋𫤰𭁇
航	斻杭𣃚𦨵𬅣𮎃
色	𢒸𣤻𬼜𮎛𮎜⾊
艹	艸䒑艹⺾⺿⻀
芒	笀䅒𠅇𥝕𦬆𪌁
苏	囌甦蘇蘓䔉𧁨
苜	𦤄𦤅𦭝𦱒𦴄𦴠
茝	𦯭𦯱𦶜𮎼𮎽茝
荆	荊𠛼𠞣𦮓𭱧𮏂
荐	洊薦𥤆𦿬𧂑𧄟
莅	涖蒞䇐𦲷𦴷𬕅
莔	𦮄𦯶𦱋𦳶𦴖𧏊
莞	唍萖𦯵𦰋𦲩𦸌
莳	秲蒔𦔌𦱎𦱗𦸎
萼	櫮蕚𦰉𦾊𫉞𰱹
蒉	蕢䕚𤆂𧷩𧸋𰷌
蔗	柘𤯈𤯋𧀹𬞈𰢩
蕲	蘄鄿龩䕤𥷋𭄚
薑	姜䕬𦷗𧅁𫊌𬞏
薤	䪥𣩶𧂊𩐁𬞃𭮞
藐	𦯦𦴭𦾜𧂀𬟈𬨯
藝	艺芸𬂤𬂴𬓣𬓺
蚍	𧔆𧔯𧔻𧖈𧖎𧖕
蚳	𧉛𧋗𧏁𧏔𧐏𨑉
蛔	痐蚘蛕蜖𧍚𮓻
蝒	𧉄𧉋𧉝𧍹𧏈𧒪
蝱	䖟䗈𧌦𧕕𫊤𰳐
螣	𦢅𧈩𧑞𧔟𧔶𧖍
螺	螺𤨴𥛧𧷳𮕗𮤄
蟊	䖥𧎻𧐘𧓿𧔨𧕑
衍	𥞟𧗠𬉃𬉅𬩠𮕢
衷	𠂻𧘴𧘼𧙙𮕪𮕵
衽	祍袵𢂧𣐅𥙛𧙨
袭	襲㦻𥫄𧟛𧟟𫴪
袳	袲𧘾𧚕𧚤𧛅𧛧
裂	裂𧙩𧙷𧚲𧛯𧛵
襁	繦襁𦇤𧚴𧝿𧟂
觑	覰覷覻䁦𡳆𧠢
訾	呰訿𢋀𤺒𧩢𧬟
讯	汛訊訙䛜𠱖𡀚
诔	誄讄䛶𧧈𧫖𧮢
诬	誈誣𦥁𧨆𧨈𧩄
诰	誥𠬳𢍎𧧙𧧞𰴱
诱	唀誘㕗䛻𥤃𦲃
谔	愕諤讍鄂𡅡𣤲
谰	囒譋讕𧬘𧮧𰵟
谷	穀䅽𡵾𪠲𭶻⾕
谻	𠊬𠌋𠌢𠍠𠫲𧮷
豜	猏豣𧱚𧲀𧲨𫯦
豵	猔𤡆𧱷𧲓𫎆𰶮
貂	鼦㹦𧲹𪔸𪔹𪔺
貉	狢貈𧲪𧳇𧴘𧴞
貔	豼𤜻𤠞𧴀𫧉𬆺
貺	贶𫌝𫢢𬥑𬥖𬹑
财	財㒲𧴶𧵤𧸄𰷊
贬	貶𡬲𦥕𦥘𦥧𧴷
贮	著貯𡪄𧵒𧵤𫎓
贯	毌貫䝺𢿒𧵗貫
贰	弍弐貮貳㒃𢎐
赃	臧賘贓贜𧷢𮚛
赈	挋振賑䝩𧵉𨉎
赉	賚𧶐𧶘𧶛𧷖𮚅
赋	賦䝾𧵐𧶣𧷲𮙼
赍	賫賷齎䝴𧶐𧷔
赖	賴頼顂𠘝𧡽𩓃
赝	偐贋贗𧸛𭆘𱁍
趄	且跙𧻾𧽀𨒚𰷳
足	𠯁𠯣𤴕𧾷⻊⾜
路	路𡽘𨁖𨱴𮛾𮞑
跳	趒䟭𧿮𨁓𨁔𨃜
踬	疐躓䠦𨂤𨆑𨆦
蹄	蹏𤚢𥪟𨀭𨂶𨄪
躯	軀𨈬𨊘𩪍𮝀𰁳
軖	軠𨋶𨌂𨌃𫏷𰹶
軬	輽㮥𠫿𨋒𫐊𰹞
載	载𡙺𢀃𪪋𬞛𬲏
车	車𠦴𨏖𩒷𫏳⻋
软	軟輭𥎘𨉿𨋃𨋚
轸	軫䡩𨋎𨋏𨏤𮝑
辇	輦𨍻𨘧𨘪𪳭𫏼
辎	輜輺𨍟𨎏𨎜𰹟
近	𠦋𠧣𢆌𣂠𣥍𣥪
还	還𢕼𨕔𨖞𨘣𮟃
迩	邇𨑸𨒛𮞘𮞙𮟞
逃	跳迯𧻏𨒯𨓖𨓱
途	墿涂𠆧𠇊𡒎𣥳
遂	㒸𨒉𨓸𨔱𨔲𨽡
遌	遻𨔺𨕓𨕣𨕬𮞮
邪	衺釾𤜡𧘪𨚌𭈳
邹	鄒𨛃𨛄𨜈𨜉𮠐
郎	郒郞郎郞𨝥𭅺
鄙	𨝚𨝣𨝿𪯮𫑣𰻴
鄡	郻鄥𨜇𨜑𨞶𰻮
酱	醬𤖕𤖙𨟻𨡓𪧷
醇	淳醕䣩𨠺𨣳𨣶
醍	䣽䬫𣾸𨠏𩝊𮠺
醡	𨡗𨢃𨢛𨢦𨢧𨣮
量	量𣊹𨤥𨤦𭨝𰅊
鉴	鍳鑑鑒鑬𨰲𨰶
鍦	釶鉇𤟽𥍢𥍸𰾢
鏺	㔇䥽𨦏𨨻𨫁𰼦
鑄	鋳铸𫟱𫳇𫳥𬑃
钳	拑箝鉗㪁䈤𨱫
钺	戉鈅鉞䤦𨥘𨬓
铄	鑠𡤤𤅰𨰤𩟧𮣏
锋	鋒鎽鏠𨦟𮢢𰽂
键	鍵鑳𨩼𨭙𮢱𰽢
锲	契挈鍥鐑㓶䤿
锷	鍔㓵𨫘𨬆𨬱𮧪
閻	阎𨴫𨵀𨵁𨵅𨶒
闪	炶煔閃䠾𤊼𩆫
陽	阳𠧊𪳷𫹖𬪌𬯆
集	亼雦雧𠍱𠓛𠦫
雠	啁讎讐𠵁𢛇𢢧
鞄	䩝𩊋𩋲𩍂𩎘𩎾
鞼	𩌃𩍨𩏐𩏡𩏱𱁹
韠	縪鞞鞸𥀕𫖒韠
韶	㲈𢨍𪔓𪡳𫫌𬰼
類	类類𩔖𩔗𩔫𬕿
顶	頂𧵜𩒆𩕢𩕩𩠑
须	須鬚𠾫𦔰𩓣𬱇
颋	頲𨗶𨘀𩑙𫸔𮟖
颓	穨頹頺頽𥣧𥤒
额	頟額𩓘𩓴𬱃𭃺
颦	嚬矉顰𡤉𨽗𩖓
餈	粢䭣𥻓𥻵𩜴𬲌
餮	飻𡝢𡞬𩚝𩚸𩚺
餰	䭈𩱃𩱡𩱤𬳆𮩄
饐	篒䓹䬥䭇𩚂𮩞
饛	䀄𥁚𥁶𩝬𬲡𱄈
饩	餼䊠䬣𦞝𩚤𩛹
饰	飾餙餝𩚍𩛏𩜓
饴	飴䬮𥹋𩛛𩛮𩞫
馈	餽饋𠩸𧷛𩟱𫗙
馎	餺䬪䭦𩞽𩟛𪍡
馐	羞饈䐰𦟤𩝭𮩊
馔	籑饌𦠆𧃊𩜹𩝁
馥	䫝𧄦𩡊𩡑𩡘𪐒
馽	𩡳𩢏𮩵𮩸𰒀𱅁
駂	𩡰𩡵𩢈𩣎駂𱅀
驳	駁駮䮡𩢃𩣄𮩾
驾	架駕𤙑𩢟𪯀𮝋
鬯	𠚊𢀺𢗺𥠴𮫖⾿
鬵	𢑋𩰿𩱕𩱠𩱩𱆔
鰋	䱧𩷑𩹽𩻖𫚢𱆶
鲠	鞕骾鯁𦛟𩹐𩺂
鳞	鱗䚬𥼭𧤳𩼩𩽂
鳣	鱣䱳𧖞𩼼𩽦𩽱
鷉	鷈䴘𩀗𪁦𪁯𪂬
鸦	雅鴉鵶𩿗𪀨𪀹
鸩	酖鴆䧵䲴𩾺𪀩
鸭	鴨𩿼𪀋𪀌𪁗𪁨
鹅	鵝鵞䳗䳘𡤝𨿍
鹆	鵒𨾳𨿜𩀑𪃪𮬱
鹓	鵷䳃𪀈𪂦𪂧𪂭
鹪	鷦𩾗𪆄𪆅𪆔𪇶
鹭	鴼鷺𩁐𪀡𪆽𪇸
鹰	鷹䧹𤸰𤼡𨿳𪇿
麯	粬麴𥶶𥷥𩍔𱋐
麻	痳菻蔴𦲬麻⿇
黐	粚𥹗𥺡𥼝𦡬𪐑
黑	黒𢜧𪐗𪐫𭴬⿊
黟	𢉬𣘦𪐚𪐣𪐭𪑁
鼋	魭黿𠀻𠒞𪓒𪓣
鼍	鼉𡁥𡄞𪓸𪓽𪛄
鼙	鞞𥀷𦗺𧯿𮋾𮝪
齇	皶皻齄𦟰𪖸𭽷
龍	龙龍𩙘𩙠𫑰⿓
𠊬	㑢𠌁𠙆𠫷𢛠𢜭
𢆚	䅐𠔗𠠅𡘸𢆬𢍫
𤚲	㨌𣪬𤛓𤛗𪺱𭷮
𤬷	𤬼𤭗𤭠𤭡𤭲𤭿
𥛅	䄂𥛽𥜑𧪭𥛅𰨏
𥾂	𥹕𥼸𥽛𥽣𥽮𮇤
𦉢	䍅𦉣𨯻𫇓𫬴𬜂
𦋡	䍒䍙𦊋𦊎𦊏𦊧
𧎾	𧌬𧐋𧐑𧐯𧑀𧕌
𩆷	𩁺𩂅𩃔𩃢𩆧𩇏
𩥴	𩦀𩦄𩦅𩧋𩧞𩧠
𪂆	𨾧𨿹𩀃𩀔𪆨𪉎
㚃	𠚌𠚓𠚟𡔫𡕂𡕃𡕈
㿉	㾯㾽㿗𤸉𤼊𥢢𰣶
䀮	𥆆𥆈𥆨𥆰𥇀𥇫𥉂
䆏	𥣢𥣾𥣿𥤄𥤅𥤈𥤑
䶲	𤱋𤱣𪚫𪚮𪚳𫜳𰣂
丐	乢匃匄𠣏𠣣𡴮𬺶
中	𠁦𠁧𠁩𠅊𠔈𡖌𫲹
丹	㐤㣋丹𠁿𠂁𠕑𢒈
也	𠃒𠃟𠔄𦫴𦬀𬻿𬼂
亂	乱亂𢮣𫬽𫲱𬔟𬔠
亏	虧㚀𡓰𮓩𮓪𮓬𮦱
亡	亾兦𠅁𠤭𬼖𰀄𰶲
亦	𠅃𠅄𡖋𡗕𢂯𥩖𫷃
亹	斖𠆟𠆠𣁪𣁫𤅣𬜃
仿	倣彷眆髣㑂㧍𩬝
企	㑫𠈮𧾺𧿍𨀣𬽾𱀏
伊	𠁼𠈽𠜧𠜰𦯴𰁢𰛠
佐	左𠇸𠡃𥙀𬌬𬧹𬽩
体	躰軆骵體𨉥𨉦𩪆
作	㑅𠆯𠈨𢓓𢼎𬆢𰆺
侮	娒㑄㚢侮𠆸𢘃侮
修	俢脩臹㣊𠗆𢔜𬲓
偃	匽𠍛𠍾𠑚𤑅𪜿𮈧
傩	儺𠉗𠫶𠹈𩘾𩙎𩴓
典	敟䓦𠔓𠔩𠔰𢻅𥮏
兼	傔𠔥𥡝𬻵𭆢𮏳𠔥
剐	冎剮叧㱙𠮠𢰸𭄖
剩	剰賸䞉𠝍𠟇𧷬𪟏
割	㓣𠛊𠛛𠛢𠛷𧗶割
剽	勡慓𠜥𠠧𡬽𡭓𬋥
劫	刦刧刼㤼𠉨𠛗𠞏
勉	免勔勉𠅦𠢖𪟟勉
勞	劳勞𠢸𫸢𫺞𬏙𬡤
勴	㔧𠢻𠢾𠣊𠣋𰅔𰕘
匙	㔭㮛䈕𥫽𨥌𪰯𫧈
卒	倅卆䘚𠥾𡧵𨒳𰠄
卜	蔔𠁡𠁢𰀠𰍨⺊⼘
卤	塷滷澛鹵𠧸𪉖⻧
卺	巹𢀷𢀾𢀿𢁇𧯢𧯷
厂	丆厈厰廠𢉒⺁⼚
厅	庁庍廰廳㕔𠫇𠫊
友	㕛𠬺𦐮𦐯𦫹𦬧𬁡
召	訋𠮥𠮦𥃝𫤧𫥦𬜁
向	嚮曏𡩉𤖽𥥩𭕜𰠒
吟	唫噖訡㕂䪩𠥴𫪜
吴	吳呉𠯵𠱵𡗾𡗿𤯂
周	淍週𠄗𠣘𠱬𭎈周
咩	吀哶芈𠰖𠴟𠸱𦬒
哑	啞痖𠴀𣣾𤷸𤹎𤺘
啜	吷哾嚽涰餟𠼣𩟫
喷	喯噴歕濆㖹𠴮𠽾
噱	㖸㘌𠻔𠼥𠽁𧬷𧮫
因	囙㧢𡆬𡇂𡈲𤇀𭍝
坤	堃𠔜𠔧𡘩𡿦𡿭𫶧
坼	𡍔𡍩𢯪𣂙𤇚𤖴𰞛
型	坓形𡌁𡌑𡌒𬌳型
垣	𥥣𩍻𩫧𩰵𬴠𭎤𱅾
埴	戠𡌴𡍠𡑌𡑠𢨀埴
執	执𠙜𢽞𦎃𪯎𬟰𬟲
壅	雍㙲㽫𡓱𡔏𢋊𬽜
夐	敻𡕱𡕳𡕷𢿌𤔫𭆶
夙	𠈇𠉢𠉦𠘵𡖊𡖕𣦽
奖	奨奬獎㢡𤍵𤟌𤟒
婚	昏㛰𡕼𡕽𡖀𡝪𤔿
婿	壻聓聟𡎎𡎨𡠸𦕓
嫔	娦嬪𡜷𡣑𡣕𡤁𨊕
嫩	媆嫰㜛𤯦𤯯𦠫𰢫
守	垨狩㝊𡧕𡬮𡬴𰡧
安	侒𠕷𡚴𭑨𰇭𰋵𰢲
寰	㝨𡕅𡩑𡩲𡪭𡫖𫤻
寶	宝𡫿𩇉𫴅𫴗𫴦𫴫
将	將摪𢪇𢪽𤕭𨟻𰠶
專	专専𠧡𫩄𫸜𬣋𰐰
屹	阣䇄𡵊𡵋𤣮𪨣𪨦
峭	陗𡌔𡹺𢮉𭖶𰎰𱀓
崿	㟧㠋𡼑𡼰𡾙𰎵𰎽
巉	磛𡷭𡸊𡺎𡽡𡿣𭗹
巡	廵循𡿽𨊩𨑾巡𰕀
巢	巣樔漅窼𤔥巢𰯹
工	㣉𠜝𢀚𢒄𢒅𬙕⼯
巫	𠮎𡷯𢀣𢍦𢍮𪚠𭘆
差	荖䁟𢀞𢀠𢀩𫅏𭅒
希	㠻𠬯𠬹𢁙𢁫𭤔𰇅
帧	幀㡠㡧𢂰𢅃𢹑𥨰
帽	冃冒㡌𥚕𧛕𫷀帽
幾	几㡬𢆻𢆼𨗂𭙌𰒨
建	迠㨴䢖𢌤𰙨𰭼𰻌
弑	弒𢎊𢎍𢎓𢦳𢨓𭚤
弟	俤弚棣𠂖𢦢𬼺𰰣
彩	毝綵采彩𣁝𥝞𰐩
徯	傒𠌜𢓽𥪦𧧹𧨍𮘧
怪	恠𠬭𢘪𢙨𢚬𪫦𰆷
恳	懇貇𡓚𢡆𢢽𧩺𰵁
悴	忰萃顇𢜙𤎋𱂕𱂘
惫	憊𢞎𢟡𢢑𢣍𤸶𤻚
憨	㦑𠐣𢦅𣢅𤸕𤺍𤼉
截	擮𠃲𠛍𢧵𢨆𢷿𫻼
戾	戻盭㑦𢨾𢿐𤟵𤡵
扁	揙藊鶣𠓫𡈯𡲜𫠫
抑	挹𠲃𢑏𢫽𢬃𰓡𰻟
折	摺㪿𣂚𣂟𣂫𣂲𣂹
抚	拊捬撫𢸮𢻬𢻲𨑑
抱	勽袌𢫎𢬘𪭷𭷝抱
拉	剌啦搚㩉拉𢰖𥩝
拗	抝㑃𢰃𢱇𢲷𫼡𰔏
拯	抍撜氶𢫑𢫒𢮋𰞼
挞	撻𢫁𢹗𨘈𩋅𩌉𩌘
挥	揮㩣㫎𢯷𢰄𢱳𨍂
振	𢈫𤚨𤚾𤚿𪣗𪪸𫸚
据	拠據㨿㩀𢴃𢷛𭢾
掠	稤㨼掠𢱊𫿀𰔡𰗉
播	𠤻𢿥𨤏𫾶𫿓𬅱𰪨
攸	𠇉𠇥𠈹𢻺𬰽𭣢𰁦
敬	憼𠣷𢾠𢿩𣀖敬𰕔
族	㞺𥎩𥎼𥎽𥏁𫞀𰦚
时	峕旹時㫑𡺞𣅱𰖃
昵	嫟嬺尼暱眤𡠷𣆓
晃	愰晄㨪𠒼𤒼𨉁𰣐
晓	暁曉皢𣇈𣉊𬀸𭦩
晴	夝暒甠晴晴𩄆𰕺
曹	曺㯥𣈅𣊛𣌼𣍘𫡼
杂	襍雜𣛜𣜫𣠛𨿼𰗣
条	條樤蓧𡠊𣒼𭛹𭢌
業	业䧨𤑽𤒍𪴨𫨱𰩥
槱	梄禉𣜃𤍕𥙫𪳝𬄇
模	桙橅𡆶𡘲𣝶𤏠𰱴
檐	櫩簷䦲𣚞𣡞𤖝𭢶
歌	哥謌𡃭𣤑𣤒𭤃𰙔
殁	圽歾歿没𣨏𣨨𭮈
殍	莩𠬪𣧶𣨈𦖀𦹡𩛞
汰	汏汱溙㑀𡊀𡊌𰛔
浆	漿䊢𤕯𤖅𩝫𩝴𩞟
浩	澔㬶㵆𣽋𤅆𤅡浩
涛	涭濤𣵬𣾭𤁟𤃕𭱹
淑	㳤𣷕𣻪𪫥𭂑𰛧𰜓
淳	湻醇𠩭𣹾𤂸𬙸𭂓
清	淸㵙𠗜𢴆𨓽𩇝𰛓
溺	氼汋㲻溺𡲳𣲙𤀂
漏	屚漏𠗬𢉀𣼣𣾡𰍽
澍	霔㴻𩆩𪷏𫥙𮦵𰜍
濬	𣼂𣽊𣿰𣿼𤀹𤂓𤃒
濮	𣱶𣾴𤀾𤂛𤃊𤃙𨽂
瀛	灜𤄞𤅀𬉑𬉩𬉫瀛
灭	滅烕𢛣𢦹𣸵𣹹𰟠
炮	奅炰砲礟礮𰞑𰽎
烄	烪𢽻𤉧𤉺𤊮𤎦𤐳
烹	亨𤈽𨢶𩱋𪸿𬊧𬴻
烽	炐熢㶻㷨㷭𤇺𤑊
焚	炃燌燓㷊𤆶𤊩𰋧
焦	燋蕉㸈𤊙𤓪𤓬𩵰
熊	熋㷱𤌶𤠗𧰯𪏛𭳢
熛	䙳𠔂𤌑𤍟𤍭𤐫𤒾
燦	儏灿𤌴𤍝𪞆𬋁𰟬
爆	𤆊𤋪𤑥𤒁𤒺𤓊𪹼
爇	焫𣁞𤑔𦳼𦶟𬋖𭶢
爝	焳熦爑𤓄𤓡𪺄𪺆
爪	爫㕚爫𤓰⺤⺥⽖
狖	貁㹨㺠𤝨𤟊𭷻𮙧
狝	獮𤣐𤣔𤣗𤣝𤫏𭸄
独	獨𤝠𤟩𤠢𤡴𤢜𨊒
狭	狹陜陿𠩘𣇍𰃘𰡍
璿	䥧𤩅𤩋𤩡𤪻𤪽𤫀
瓠	瓡𤫸𤬄𤬗𪼵𫈻𭑦
瓦	𠩅𡧗𤬦𭀝𭂬𭺛⽡
用	𠂦𠂵𠛁𡶤𤰃𤰆⽤
甾	畠㚎𠙹𠙾𠚀𠚋𰃰
疏	疎踈䟽𤕟𥿇𦠦𨘖
痈	癕癰㿈𣋿𤻕𰣳𰯩
瘗	瘞𡈾𡎶𢊃𤺦𨻊𨻏
皎	晈皦賋𡙎𣈁𣎣𰋩
盤	盘𥂐𫨕𬐫𬐯𬐶𬰝
目	𠫕𡆲𡇡𥃦𥆤𭍞⽬
矧	矤訠𥎧𥎪𥎯𥏖𫨸
砭	𥐗𥑁𥒟𥓦𨥧𪿜𰦤
磬	殸罄𡔝𣫆𥓕𰋌𰧋
示	礻𡭕𥘅𧵋⺬⺭⽰
祖	祖𤓵𤔈𥘲𫨶𬃁祖
禋	䄄𠖦𡫻𥛡𥛿𫴖𬪭
穑	啬穡穯𢋦𥢺𥣱𰣋
童	僮𥪽𥪿𥫍𨚯𬔥𰩨
笨	倴坌夯㤓𡍋𡿶𢜘
筮	簭𡋍𥰫𥰰𥵼𥷂𥷣
管	斡筦𨵄𪧶𫴨𬮔𮅬
篆	蒃𡩚𥲰𥴎𪼄𫁾篆
类	頪類类𣈪𩔧𩔬𮨔
粟	䅇𠧼𥟫𥸫𥹟𥻆𥾄
粮	糧𣊼𣛀𥣷𩞯𮇜𮩓
纲	綱㭃䌉𣏈𣓡𦂴𭩡
绰	抄淖綽繛𤚷𦅕𦈀
绳	繉繩𦃰𦃻𨭘𫃧𬗝
缅	緬𤚛𤟯𥾝𥿶𬗟𰬄
缠	廛緾繵纏纒𦆑𫮈
缮	敾歚繕㪨𦆇𦆏𦆶
罔	㒺𠕏𡦽𡧏𣥙𤣴𦉰
罥	𦊰𦋀𦌄𦌾𦍃𦍆𬚰
罦	䍖𦊠𦊦𦊾𦋄𦋵𮊑
羔	羙𦍚𦍱𦎴𦏠𦏦𮊲
群	羣䭽𠹩𡲻𤛭𨐚𰻚
羸	𤼘𦏝𦢗𦣄𦣉𬢙𮊷
考	丂攷𢎿𣧏𦒱𫨲𫷟
耆	𥄥𦒿𦓀𨚻𪰚𬚋𮋝
聊	㗦𦕅𦕬𦕵𦕼𦖂𦗖
肰	𠤀𦛡𦛦𦝸𬁰𭨬𰮩
背	倍偝北揹𧶙𪟪𰮔
胜	勝𠙟𠢧𡕲𢾶𤯝𰮛
胝	疷䟡𤵋𦙁𦙘𦙠𦝔
脱	侻捝敚脫𦚳𨉋𬚜
腆	倎㙉䐌𣇺𥳫𥵶𥶚
腊	臈臘𦝙𦞽𦠪𬛄𰮠
腌	醃𦛞𦜽𦞴𦟩𨉚𨢴
腐	焤𢉶𢋲𣩇𤸗𫙆𭬙
腻	膩𦡸𧸉𧸐𮚞𰖡𰮓
臀	臋𡱂𡱒𦜴𦞠𦟓𩪡
臘	腊臘𦠼𦡓𦡔𦡳𫞇
自	𥃭𦣹𦣼𨈻𩐍𪞶⾃
至	𡉰𡊏𦤳𦤴𦤵𬛱⾄
致	緻䑒𦤶𦤹𦤺𦥀𮍡
舀	抭𤔘𦥝𦥞𦥟𦥨𦥵
舂	㫪𢪠𣇃𦥴𦥽𦦁𦦓
舄	舃𣚔𤉱𩊿𩍆𭴷舄
舞	儛𢷵𣄳𦏶𦐀𦨅𮎁
良	良𡆨𡰩𣌣𣌩𥭣𥭷
芑	䄫𥝗𦫾𦬊𦯸𦸆芑
茂	懋楙㮊䓮𫁸𫇮𭟱
荡	潒盪蕩蘯𠎯𣿘𧑘
荪	蓀䕖𦳪𦺈𦽙𧂍𧆙
莫	䒬𢍋𦮅𦱤𦱴𦶛𫂁
菑	葘䎩𦵰𦸜𧀗𮐎𰱢
菱	蓤蔆䔖菱𧁽𧅊𮏀
蒯	䓒𠣯𠣲𦮍𦰵𦳋𦹣
藕	蕅㒖𦸲𫀽𬕽𬚑𬟍
藜	蔾䔧𦺙𦾅𦿺𦿾𧅏
虫	仐蟲䖝𮓰𮓱𮓼⾍
虹	𢀔𧈫𧈬𧊋𧌫𧍺𬁅
虿	蠆䘍𧒨𧔐𧔱𧔴𧕧
蚁	蛾螘蟻𧍽𧑢𧔮𧕶
蝎	蠍𥗧𧒤𧓃𧔄𧖁𩫲
螽	𧍸𧑄𧑆𧑬𧒟𧔔𧕠
蟘	𧈱𧈺𧎢𧎬𧏪𧑰𫋌
裙	帬裠𢂽𢃆𧛬𫌔𬡝
褾	𢅚𥘤𥛦𧘡𧝪𧝼𧟈
觅	覓覔覛𥦀𧠘𧠙𧠨
触	觸𡝈𡟌𧢶𧢻𧣈𧥘
變	变䛀變𫖘𫴥𬢢變
诊	覙診𧠝𧦜𧦽𧧂𧭉
话	話諙譮䛡𦧵𧔗𧨥
诞	唌訑誕𦋪𧥡𧨓𧩙
谋	呣謀㖼𠰔𢘓𢜯𧦥
象	𤉢𤊱𤡸𧰼𪹌𬂏𮙞
贙	𧷠𧸾𧹁𧹂𧹆𬢆𰷮
贤	臤賢贒䝨𠤕𧷙𬥎
败	敗贁䢙𢼷𣀕𤖐𰶹
货	貨𣱷𧴦𧵰𧷈𧷴𫎔
贼	戝賊𢨗𧵪𩶺𮚆𰒭
赆	賮贐䝲𧴾𧷇𧸬𩟝
赜	啧賾𡁃𡁦𡄙𦣱𧶷
赤	灻烾𡗩𤆍𤍢𦮰⾚
趑	赼趦䠖𧾕𧿞𨀥𨒮
趣	𠮋𧺥𧻃𧻽𧼈𧼝𧾉
跋	茇䟦𥑕𧺺𧿡𭼀跋
跸	蹕驆䟆𠌫𡁘𢕏𧫤
蹶	蹷𧽸𨄬𨇭𨇮𩦒𪨡
轭	扼枙軛軶𩉴𩊢𫏸
辣	辢𦎖𨐜𪲿𫐛𬨗𬨛
逌	𠧠𠧴𠧷𨓘𨔁𨔖𨔟
遭	傮𣩒𨗐𨘜𨙠𮞯𮞸
那	郍䢷𢑽𣟎𨙻𨚉𨚗
郁	欝鬱𦉚𨚺𨚼𨛼𩰪
都	都𨛷𨜁𨜞𨟞𮟾𰼁
酸	痠𨠡𨢽𨣪𮭬𰼉𰼎
钘	鈃銒㐩㼛𦈨𦈵𨨵
铿	揁硻銵鍞鏗㧶𮡸
锹	橾鍫鍬鐰𠝡𣂁𣂥
闭	閇閉閟𨳯𨳰𨳲𨵰
陟	徏徝𠉡𠌹𫨞𰂮𱀒
陶	匋𥓮𨹋𨺃𫧀𬯈𰉷
陷	埳臽陥䧟𨺂𨺻𫅎
随	遀阥隨䢫𨓔𨔳𨼕
隐	隠隱𠃊𤔌𨼆𮁉𮥚
隰	㙷𨻋𨻥𨻸𨻽𨻿𫠃
雾	雺霚霧𩄯𩅗𩅬𬰇
霤	廇𣠚𩅐𩅑𩅸𩆎𩆞
靴	鞾𡲲𩋖𩍇𩍍𩎁𰆳
鞟	鞹䩹𩋻𩌒𩌞𩌼𩎏
鞯	帴韀韉𦆉𦇩𩋋𩌵
韅	䩙𩌹𩌺𩎌𩎍𩏞𩏰
韗	䩵𩋢𩍹𩎨𩏅𩏆𱂈
韘	弽㢵𢏲𢏼𢐇𩏁𱂊
韧	仞牣肕靭韌䏰𭄵
顾	故頋顧𩒒𪄮𬽬𮨇
颊	脥頬頰𡖳𩔯𩠗𩠣
颔	頷顄䫲𠹄𦜆𩩂𩩊
颜	顏顔𦫞𦫤𦫨𩓲𩕝
飘	票飃飄𠠕𩘔𩘞𩙞
餐	喰歺湌飡䬸𩛳𩜨
餗	𩞌𩞍𩞕𩞸𩱖𩱫𫗧
饘	飦䊕䬤𢐹𥼷𩛻𫗴
饵	咡餌㢽𧊗𩚪𩛣𩱓
马	馬㡍𢒗𢒠𢒧𩡬⻢
驼	駝駞驝𦚐𩢊𩣾𩧐
骀	駘𩢠𩦽𫹸𮩻𮪁𱄑
骝	駠駵騮驑𩣒𩤃𱄖
骡	騾驘䯁𦝠𦟀𩦻𩧣
骸	䠹䯐𡱍𩩏𩩰𮪩𮪪
髡	髠髨䪲𡧉𩫼𩬌𩭋
髦	𣬾𨱞𨱢𩫷𩭾𩮼𱄒
髭	頾頿𣯃𨱲𨲝𨲦𩑽
